Convergence,,,,
,,,,
Axis 1 - Measures for the adaptation of the cummunity fishing fleet,,,,
,,,,
Beneficiary,Project title, EFF Grant , MMO Grant ,Ref
Cornwall Food & Drink Ltd,Cornish Seafood Market Development Project,"£62,488.91","£20,829.64",FEF1699
Brilliant Fish CIC/Brilliant Fish Education,See It Cook It,"£4,275.00",£225.00,FEF1799
Surfers Against Sewage,Global Wave Conference 2015,"£12,270.44",£645.81,FEF1820
,,,,
Non Convergence,,,,
,,,,
Axis 1 - Measures for the adaptation of the cummunity fishing fleet,,,,
,,,,
Beneficiary,Project title, EFF Grant , MMO Grant ,Ref
M R Durrans Fishing Ltd,Celtic Mor Modernisation II,£850.95,£850.95,FEF0081
A N Other,Boy Callum Nozzle,"£1,964.80","£1,964.80",FEF0082
A N Other,Decommissioning,"£19,564.80","£29,347.20",FEF0084
A N Other,Decommissioning,"£54,768.00","£82,152.00",FEF0085
A N Other,Decommissioning,"£56,000.00","£84,000.00",FEF0086
A N Other,Decommissioning,"£54,146.19","£80,069.39",FEF0087
A N Other,Decommissioning,"£24,145.28","£36,217.92",FEF0089
A N Other,Decommissioning,"£20,000.00","£30,000.00",
A N Other,Decommissioning,"£5,070.00","£7,605.00",FEF0093
A N Other,Decommissioning,"£26,211.96","£39,317.94",FEF0094
A N Other,Decommissioning,"£63,862.20","£95,793.30",FEF0095
A N Other,Decommissioning,"£29,338.00","£44,007.00",FEF0096
M R Durrans Fishing Ltd,Celtic Mor Modernisation,"£3,714.88","£3,714.88",FEF0026
A N Other,Re- engining (new) MFV Sunrise,"£1,130.00","£1,130.00",FEF0027
Siraniar Ltd/Jubilee Fishing Company,Jubilee Intrepid,"£9,950.00","£9,950.00",FEF0036
W A Lawrence (fishing) Ltd,Escape Rectangle Pots,"£2,113.39","£2,113.39",FEF0037
Enterprise,Escape Panel Pots,"£3,958.35","£3,958.35",FEF0042
A N Other,Bosloe MOD 2009,"£28,436.71","£28,436.71",FEF0065
Norfolk Larder,EFF/Laura Jane,"£4,492.80","£4,492.80",FEF0069
A N Other,1 Tonne Trawl Winch,"£1,856.79","£1,856.79",FEF0074
A N Other,Decommissioning,"£6,300.00","£9,450.00",FEF0098
A N Other,Decommissioning,"£46,811.60","£70,217.40",FEF0100
A N Other,Decommissioning,"£47,424.00","£71,136.00",FEF0103
A N Other,Decommissioning,"£28,712.00","£43,068.01",FEF0104
Brian Cox,Decommissioning,"£39,771.20","£59,656.80",FEF0105
A N Other,Decommissioning,"£62,540.00","£93,810.00",FEF0106
A N Other,Decommissioning,"£30,138.80","£45,208.20",FEF0107
Sukat,Decommissioning,"£18,980.52","£28,470.78",FEF0108
A N Other,Decommissioning,"£71,323.20","£106,984.80",FEF0109
A N Other,Decommissioning,"£31,384.80","£47,077.20",FEF0111
Sole Bay Fish Co Ltd,Decommissioning,"£13,845.00","£20,767.50",FEF0113
Bolsworth,Decommissioning,"£3,786.40","£5,679.60",FEF0118
Fastline Shellfish,Decommissioning,"£36,000.00","£54,000.00",FEF0121
S.C Fishing Ltd,Decommissioning,"£26,139.20","£39,208.80",FEF0122
A N Other,Decommissioning,"£18,000.00","£27,000.00",
A N Other,Decommissioning,"£10,457.20","£15,685.80",FEF0124
A N Other,Decommissioning,"£20,000.00","£30,000.00",
A N Other,Decommissioning,"£48,000.00","£72,000.00",FEF0162
The Sound Net Company,Metan - Fish Trap Project,£863.19,£863.19,FEF0211
A N Other,Line Fishing,£330.00,£330.00,FEF0212
A N Other,Decommissioning,"£29,270.00","£43,905.00",FEF0125
A N Other,Decommissioning,"£15,467.60","£23,201.40",FEF0127
A N Other,Decommissioning,"£15,400.00","£23,100.00",FEF0129
A N Other,Decommissioning,"£10,000.00","£15,000.00",FEF0130
A N Other,Decommissioning,"£11,008.80","£16,513.20",FEF0131
A N Other,Decommissioning,"£16,095.94","£24,143.92",FEF0132
A N Other,Decommissioning,"£24,608.00","£36,912.00",FEF0133
Langdon & Philip Ltd,Decommissioning,"£37,445.20","£56,167.80",FEF0134
A N Other,Decommissioning,"£5,772.00","£8,658.00",FEF0137
A N Other,Decommissioning,"£26,638.80","£39,958.20",FEF0138
A N Other,Decommissioning,"£26,817.20","£40,225.80",FEF0139
A N Other,Decommissioning,"£18,000.00","£27,000.00",
A N Other,Decommissioning,"£41,673.66","£62,510.50",FEF0141
A N Other,Decommissioning,"£27,864.00","£41,796.00",FEF0142
A N Other,Decommissioning,"£32,310.00","£48,465.00",FEF0147
A N Other,Decommissioning,"£31,909.00","£47,863.50",FEF0148
Aloha Fisheries Ltd,Decommissioning,"£34,224.80","£51,337.20",FEF0149
A N Other,Hauler to reduce damaged discards,"£1,724.70","£1,724.70",FEF0150
Nigel Stead Fishing Ltd,Diversification to Turbot Netting,"£15,750.00","£15,750.00",FEF0078
Seafield Emiel Trawlers (Lady T) Ltd,Lady T - Deck Conveyors,"£8,900.00","£8,900.00",FEF0157
Trust Trawlers Ltd,Jacomina Deck Conveyors,"£11,359.59","£11,359.59",FEF0163
A N Other,Gurdy Fish Stripper,£412.50,£412.50,FEF0171
Baillie & Strike,Harms Johannes Generator Replacement,"£5,876.34","£5,876.34",FEF0189
Baillie & Strike,Harvester Generator Equipment,"£3,948.24","£3,948.24",FEF0190
H & H Seafood Company,Decommissioning,"£91,252.40","£136,878.60",FEF0197
D.B Fisheries Ltd,Decommissioning,"£87,600.00","£131,400.00",FEF0198
Kimataua Fishing Co Ltd,Decommissioning,"£38,800.00","£58,200.00",FEF0200
A N Other,Decommissioning,"£22,000.00","£33,000.00",FEF0201
A N Other,Decommissioning,"£19,376.00","£29,064.00",FEF0203
A N Other,Decommissioning,"£67,464.00","£101,196.00",FEF0204
Longshot,Engine Replacement,£680.68,£680.68,FEF0391
EMILIA JAYNE LTD,Scallop Project,"£3,953.00","£3,953.00",FEF0551
John Lake Shellfish Ltd,New Winch - MFV Charlotte,"£6,967.35","£6,967.35",FEF0576
Barentszee Fishing Co. Ltd,Harvingliet Winch Replacement,"£8,800.00","£8,800.00",FEF0207
A N Other,Selective Gear,"£5,884.95","£5,884.95",FEF0216
A N Other,Hand- Line Fishing,£369.00,£123.00,FEF0217
Lockers Trawlers Ltd,On Board Weighing and Reporting System for Aurelia,"£2,016.80","£2,016.80",FEF0219
D and H Gladwell Oysters,Re- Engine Boy Steven II CK896,£895.87,£895.87,FEF0220
A N Other,Purchase of Pots with escape panels,"£4,380.30","£4,380.30",FEF0222
C and LA Wason Limited,Insulating the hold Seaseeker,"£2,330.00","£2,330.00",FEF0232
A N Other,Improvement of the quality of catch Aboard,£493.50,£493.50,FEF0236
A N Other,Katherine M,£976.00,£976.00,FEF0242
Lynn Shellfish Ltd,Seagull Fishroom & Accommodation,"£5,060.00","£5,060.00",FEF0244
"""Progress Fishing""",Re-engine of MFU Mirage II,"£8,862.00","£8,862.00",FEF0389
J. Stephenson Unity,Selective Gear,"£1,328.70","£1,328.70",FEF0267
A N Other,Selective Gear,"£1,386.60","£1,386.60",FEF0269
A N Other,Improvement to Headway BF 856,"£14,428.97","£14,428.97",FEF0272
Waterdance Limited,Regent Bird 01,"£75,744.00","£75,744.00",FEF0282
Waterdance Ltd,Regent Bird 02,"£15,075.00","£15,075.00",FEF0283
Waterdance,Pices Fishroom,"£4,308.20","£4,308.20",FEF0286
A N Other,Jigging Machine,£649.91,£649.91,FEF0293
A N Other,Headway Fuel Efficiency Project,"£21,450.00","£21,450.00",FEF0297
A N Other,Golden Girl Safety Project,"£1,500.00","£1,500.00",FEF0301
A N Other,Jocely Re-Engine,"£1,196.00","£1,196.00",FEF0304
A N Other,Replacement Engine for Audrey,"£2,260.00","£2,260.00",FEF0311
John Lake Shellfish Ltd,Rotary Shrimp Riddle - MFV Charlotte,"£3,746.40","£3,746.40",
John Lake Shellfish Ltd,Rotary Shrimp Riddle - MFV Jolene,"£3,746.40","£3,746.40",
John Lake Shellfish Ltd,Rotary Shrimp Riddle - MFV Lucky Luke,"£3,746.40","£3,746.40",
John Lake Shellfish Ltd,Rotary Shrimp Riddle - MFV Two Marks,"£3,746.40","£3,746.40",
MFV Sagittarius,"Re-engining of ""Sagittarius"" LH77","£2,371.10","£2,371.10",FEF0332
Langdon and Philip Ltd,Barentzee Ice,"£7,418.00","£7,418.00",FEF0333
Korenbloem Ltd,Korenbloem Scallop Conversion,"£19,700.00","£19,700.00",
Amber J Fishing Ltd,Amber J generator conversion,"£15,237.34","£15,237.34",FEF0337
Lockers Trawlers Ltd,"MFU Artemis, Fish hold and crews quarters improvements","£23,995.60","£23,995.60",FEF0342
Portland Seabass Ltd,Engine Replacement,"£2,446.00","£2,446.00",FEF0343
Leedale Trawlers Ltd,Haringuliet,"£19,601.80","£19,601.80",FEF0348
Lockers Trawlers Ltd,MFV Artemis Fuel Consumption Reduction Improvements,"£21,157.47","£21,157.47",FEF0417
Langdon and Philip,Lady Lou Scalloping,"£15,000.00","£15,000.00",
Seiont - A,Seiont-A Wheelhouse and Galley,"£1,417.00","£1,417.00",FEF0437
C Knight & D Rathbone,Rathbone & Knight Jigging Machines,"£1,176.97","£1,176.97",FEF0447
John Lake Shellfish Ltd,Mussel Seed Washer - MFV Jolene,"£7,050.00","£7,050.00",
John Lake Shellfish Ltd,Mussel Seed Washer· MFV Lucky Luke,"£7,050.00","£7,050.00",FEF0449
A N Other,Diversification to include Mackerel Fishing,£434.42,£434.42,FEF0451
J McAvoy & Son Ltd,installation of gilson winches,"£1,290.57","£1,290.57",FEF0479
J Gosling T/A Two Brothers II,Two Brothers II Generator,"£2,030.05","£2,030.05",FEF0480
Tricia B,Vicky Ellen BN86,"£4,800.00","£4,800.00",FEF0487
A N Other,Lampara Seine Net,"£1,095.00","£1,095.00",FEF0492
Samlewette,Boat Monitor,£500.00,£500.00,FEF0498
Christina Fishing Ltd,New Generator Engine,"£8,245.50","£8,245.50",FEF0507
Olbek Fishing Co Ltd,Jubilee Spirit - Factory deck improvements,"£5,140.00","£5,140.00",FEF0517
Mermaid Trawler Co Ltd,Tipping Rails,"£10,900.00","£10,900.00",FEF0519
Joint Venture,Re-engining MFV Joint Venture,"£3,018.40","£3,018.40",FEF0520
Baillie & Strike,Harms Johannes Ice Maker,"£4,708.00","£4,708.00",FEF0521
Baillie and Strike,Harvester Ice Maker & Refrigeration,"£6,550.00","£6,550.00",FEF0530
J F D Trawlers Ltd,stage 1 scalloping,"£12,303.68","£12,303.68",FEF0535
Langdon Philip Ltd,2 New Generators Lady Lou BM 128,"£7,888.15","£7,888.15",FEF0536
Langdon and Philip Ltd,2xnew generators Catharina BM111,"£10,071.00","£10,071.00",FEF0555
RW Fishing Ltd,Long Arm Boom Crane,"£7,540.00","£7,540.00",FEF0558
Mirage II Ltd,Self Hauler and Secure AFT Storage,"£1,669.50","£1,669.50",FEF0573
P.J. Caunter & Son Ltd,Safety Upgrade Yvonne Anne,£985.77,£985.77,FEF0593
John Lake Shellfish Ltd,Kort Nozzle - MFV Charlotte,"£1,735.20","£1,735.20",FEF0625
A N Other,Katherine M Propulsion,"£2,884.50","£2,884.50",FEF0626
A N Other,SABRE ENGINE RENEWAL,"£1,000.00","£1,000.00",FEF0652
A N Other,REPLACEMENT ENGINE FOR VESSEL VALERIE ANN IH322,"£2,873.87","£2,873.87",FEF0665
Jordan A Fishing Ltd (Amber J Fishing),ICE MAKER,"£4,418.00","£4,418.00",FEF0667
A N Other,ENGINE REPLACEMENT,"£1,012.00","£1,012.00",FEF0669
Baillie & Strike,Harvester Safety Improvements,"£4,990.00","£4,990.00",FEF0672
Excelsior Fishing Company,Perseverance Refit/Modernisation,£892.50,£892.50,FEF0688
Emilia Jayne Ltd,SAFETY RAILINGS,"£1,030.00","£1,030.00",FEF0720
N J Fisheries Limited,Fishroom Insulation and Deck Hatch replacement,"£3,173.69","£3,173.69",FEF0723
Steven Brian Burbidge,Barbaral Shooting Ramp,"£1,425.00","£1,425.00",FEF0728
Jason Miller,Shetland Sun Re-Engine,"£1,745.04","£1,745.04",FEF1066
Stowmanor Ltd,STORM DAMAGE,£790.62,£790.62,FEF1544
A N Other,STORM DAMAGE,£601.35,£31.65,FEF1545
Langford Lobsters,STORM DAMAGE,"£3,724.95",£196.05,FEF1547
A N Other,STORM DAMAGE,"£1,725.00","£1,725.00",FEF1548
Northern Isle,Perkins M130C,"£3,324.20","£3,324.20",FEF0740
A N Other,Pamela Mary Safety Improvements,"£7,025.90","£7,025.90",FEF0761
J F D Trawlers Ltd,Ice Maker H/A,"£5,250.00","£5,250.00",FEF0765
Siraniar Ltd,MFV Fruitful Harvest III - Installation of Toilet and Hot Water Supply,"£1,530.00","£1,530.00",FEF0842
A N Other,net stacker flaker,£900.00,£900.00,FEF1354
Alan Stead Ltd,Karmalor,"£1,491.67","£1,491.67",FEF0822
A N Other,Engine Gearbox Replacement,"£1,730.00","£1,730.00",FEF0825
P & M Walsh,Lucia HL1067 Vessel Modifications,"£12,421.00","£12,421.00",
P & M Walsh,Stella Maris HL705 Vessel Modifications,"£12,421.00","£12,421.00",FEF0828
A N Other,Shelter Deck,"£3,256.50","£3,256.50",FEF0830
Electcatch Ltd,Fish Hygiene & Heating Equipment,£620.40,£620.40,FEF0844
Arrivain Fishing Co. Limited,Copious Energy Efficient Engine,"£9,969.50","£9,969.50",FEF0973
Richard Fowler Business Account,Modernisation Refit,"£18,110.00","£18,110.00",FEF0977
Langdon & Philip Limited,Crew Accommodation,"£11,800.00","£11,800.00",FEF0991
Seafalke Shipping Company Ltd,Scallop Dredge Tipping Doors,"£8,060.00","£8,060.00",FEF0992
A N Other,Hauling System,"£7,953.60","£7,953.60",FEF1023
WCS fishing ltd,WCS Ice-Maker,"£4,199.20","£4,199.20",FEF1093
CHRISTOPHER REDFORD ARMSTRONG,BILGE KEELS,£375.30,£375.30,FEF1159
A N Other,IMPROVING QUALITY AND SAFETY ON MFV HANNAH JACK PH5583,"£6,855.00","£6,855.00",FEF1161
waterdance ltd,"Improving crew safety and fish quality on board ""Joy of Ladram"" E22","£1,350.00","£25,650.00",FEF1210
Haxby Fishing,Fear Not' Upgrade,"£4,932.00","£4,932.00",FEF1284
Waterdance Limited,JOY OF LADRAM,"£3,212.00","£3,212.00",FEF1293
leedale trawlers ltd,Fit a ice maker,"£4,740.00","£4,740.00",FEF1301
A N Other,Antelma - EFF,"£2,907.38","£2,907.38",FEF1303
A N Other,engine replacement,"£1,908.00","£1,908.00",FEF1320
sylviat fishing ltd,scallop conversion,"£19,115.47","£19,115.47",FEF1335
A N Other,SUSIE H ENGINE REPLACEMENT,"£4,248.59",£223.61,FEF1365
oceanic drifter ltd,LOST & STORM DAMAGED GEAR,"£2,948.63","£2,948.63",FEF1394
AH Swift Bus,claire louise lost pots,"£3,139.85","£3,139.85",FEF1397
A N Other,lost pots,"£1,160.10","£1,160.10",FEF1398
A N Other,solent net stacker,"£1,707.15",£89.85,FEF1399
jubilee pride fishing co ltd,mfv jubilee pride,"£8,075.00",£425.00,FEF1405
A N Other,LOST HERRING NETS,£480.00,£480.00,FEF1408
A N Other,GEAR REPLACEMENT,"£1,845.00","£1,845.00",FEF1466
A N Other,storm damage,"£4,003.25",£210.70,FEF1497
A N Other,STORM replacement gear,£698.63,£698.63,FEF1498
A N Other,REPLACEMENT GEAR,£996.60,£996.60,FEF1499
THREE WISHES LIMITED,REPLACEMENT GEAR,"£3,590.85",£188.99,FEF1501
A N Other,REPLACEMENT GEAR,"£2,698.98",£142.05,FEF1576
A N Other,REPLACEMENT GEAR,"£1,487.70",£78.30,FEF1577
SUKAT,REPLACEMENT GEAR,"£3,254.40","£3,254.40",FEF1578
paul  a dornom ltd,loss of pots storm damage,"£2,097.30","£2,097.30",FEF1410
rk stride,LOBSTER POT REPLACEMENT 2014,"£1,748.70","£1,748.70",FEF1414
portland isle limited,portland isle - looe/damage of static gear from storms 2013/14,"£1,670.70","£1,670.70",FEF1415
A N Other,replacement pots southbourne,"£2,318.11","£2,318.11",FEF1420
cardew&son shellfish,lost fishing gear,"£1,681.80","£1,681.80",FEF1422
joint venture,joint venture storm damage,"£1,959.60","£1,959.60",FEF1423
A N Other,storm damaged replacement gear,"£2,115.64","£2,115.64",FEF1430
the sound net company,storm damaged gear replacement,"£2,274.67","£2,274.67",FEF1432
A N Other,storm damage gear replacement scheme,"£1,946.85","£1,946.85",FEF1433
A N Other,Kerry Maria WA261,"£2,855.76","£2,855.76",FEF1438
A N Other,Daybreak WA1 - Replacement Gear,"£3,155.76","£3,155.76",FEF1439
shellex,replacement crab pots,"£2,915.05","£2,915.05",FEF1441
A N Other,Storm Damage,"£2,204.44","£2,204.44",FEF1442
A N Other,storm damage,"£1,211.58","£1,211.58",FEF1444
brejon ltd,Storm Damage,"£2,549.10","£2,549.10",FEF1456
browse bros fisheries ltd,kingfisher lost gear grant applicant,"£6,397.11",£336.69,FEF1463
nj ford ltd,2014 storm damage - replacement of pots,"£1,043.81","£1,043.81",FEF1468
A N Other,storm damage,£867.00,£867.00,FEF1470
A N Other,replacement of lost pots,"£2,395.50","£2,395.50",FEF1472
A N Other,replacing storm damaged gear,£148.31,"£2,817.83",FEF1473
A N Other,Storm Damage loss of gear,"£1,648.33",£86.75,FEF1477
Compass Rose Shell Fisheries Ltd,Compass Rose II,"£1,740.00","£1,740.00",
Green Isle Shell Fisheries Ltd,Green Eye,"£1,740.00","£1,740.00",FEF1479
A N Other,Lady of Lundy,"£4,020.50",£211.61,FEF1482
Boat Account,Peter Paul Potts,"£1,396.50",£73.50,FEF1485
A N Other,Storm Damage Gear Replacement,"£1,007.25","£1,007.25",FEF1489
Frank Greenslade Ltd,Relentless,"£3,707.28",£195.12,FEF1490
THREE BOUYS CO LTD,relentless,"£3,242.16",£170.64,FEF1491
A N Other,STORM DAMAGED POTS AND NETS,"£3,411.64",£179.56,FEF1493
SEACATCH,REPLACEMENT GEAR,"£1,710.00",£90.00,FEF1502
A N Other,REPLACEMENT GEAR,"£2,394.00",£126.00,FEF1503
A N Other,Storm Damage - Gunners Glory 2,£900.00,£900.00,FEF1354
A N Other,engine replacement,£950.00,£50.00,
A N Other,moxie lost and damaged pots and nets,"£2,008.49","£2,008.49",FEF1510
jf lander ltd,storm damage,"£1,569.15","£1,569.15",FEF1518
Magic Shellfish Ltd,Storm Damage,"£4,076.64",£214.56,FEF1522
A N Other,Storm Damage,"£1,580.43","£1,580.43",FEF1523
A N Other,storm damage,£499.32,£26.28,FEF1526
MFV Mizpah,marine fish room scales,"£1,851.99",£97.47,FEF1527
dh & db clark,LUC modernisation 2,"£22,705.00","£1,195.00",FEF1535
Monteum ltd,Storm Damage,"£2,408.20","£2,408.20",FEF1536
A N Other,Storm Damage,"£3,641.16",£191.64,FEF1552
A N Other,Storm Damage,"£3,046.65",£160.35,FEF1553
A N Other,storm damage,£574.85,£30.26,FEF1554
Jurassic Coast Fishing,Storm Damage,"£1,902.09",£100.11,FEF1559
Sarah Louise,storm damage,"£5,989.56",£315.24,FEF1560
A N Other,Storm Damage,"£1,603.41",£84.39,FEF1563
C W Fishing,Storm Damage,"£4,550.60",£239.51,FEF1567
A N Other,storm damage,"£4,977.24",£261.96,FEF1569
A N Other,Storm Damage,"£4,137.90",£217.78,FEF1571
Venture Marine,storm damage,"£3,852.63",£202.77,FEF1573
PORTLAND,REPLACEMENT OF GEAR,"£2,783.88",£146.52,FEF1575
harvey fishing,Storm Damage,"£1,965.36",£103.44,FEF1587
A N Other,Storm Damage,"£1,122.87","£1,122.87",FEF1588
TG Fishing,storm damage,"£1,140.00",£60.00,FEF1596
A N Other,Storm Damage - Suzie P,"£7,116.68",£374.56,FEF1598
CJP Fisherish,Storm Damage - Elsie Leigh,"£5,939.29",£312.59,FEF1599
A N Other,Storm Damage,"£2,367.00","£2,367.00",FEF1601
Barry Brown,storm damage,"£2,194.27",£115.49,FEF1603
CP Crab,storm Damage Gear Replacement,"£5,544.85",£291.83,FEF1609
A N Other,storm damage,"£5,486.14",£288.74,FEF1610
A N Other,storm damage,"£2,697.24",£141.96,FEF1613
A N Other,storm damage,£550.76,£28.99,FEF1616
WATERDANCE LTD,WEE BOY JOHN SAFE SUSTAINABLE HIGH QUALITY FISHING PROJECT,"£37,867.00","£1,993.00",FEF1624
KA Henderson,Storm Damage,"£4,238.52",£223.08,FEF1685
A N Other,storm damage,"£3,215.03",£169.21,FEF1720
A N Other,storm damage,"£4,527.51",£238.29,FEF1744
A N Other,Aurora Fishing Safety Improvements,"£1,112.64",£58.56,FEF1747
A N Other,Engine Replacement for Neptune,"£1,282.50",£67.50,FEF1749
freston marine ltd,jj engine,"£5,671.73",£298.51,FEF1750
A N Other,Replacement Trawl,"£1,580.80",£83.20,FEF1753
Sophie Dawn (Bridlington) Limited,New Venture,"£18,166.13",£956.11,FEF1758
ABALAN LIMITED,ENGINE REPLACEMENT,"£4,898.96",£257.84,FEF1769
A N Other,Storm damage,"£4,848.19",£255.17,FEF1771
A N Other,Silver Spirit Safety Improvement,"£3,619.50",£190.50,FEF1784
"doreen v n thomas, kw thomas, da thomas (partnersh",hauler,"£5,967.34",£314.07,FEF1792
A N Other,INSULATED FISH CONTAINERS,"£1,057.35",£55.65,FEF1793
enterprise fisheries ltd,longline - voyager,"£11,612.61",£611.19,FEF1794
WATERDANCE LTD,govenek of ladram safe scientific fishing project,"£19,880.00","£19,880.00",FEF1795
wayne birkett ltd,GUNWHALE ROLLER AND LANDING TABLE,"£1,317.46",£69.34,FEF1810
leedale trawlers ltd,lady-l accommodation and galley mod,"£10,043.40",£528.60,FEF1818
,,,,
"Axis 2 - Aquaculture, inland fishing processing and marketing",,,,
,,,,
Beneficiary,Project title, EFF Grant , MMO Grant ,Ref
Seafare Products Ltd,Kemmings Close Unit,"£39,179.20","£39,179.20",FEF0009
H F Fish Products LTD,H F Fish Products,"£9,390.00","£9,390.00",FEF0010
Coquet Island Shellfish Ltd,Langoustine Wash/ Treatment Machine,"£5,430.00","£5,430.00",FEF0015
Albert Darnell Limited,Upgrading equipment.,"£69,000.00","£69,000.00",FEF0017
Kirwin Brothers Ltd,Upgrade of factory to BRC Standards and creation of on-site cold/chilled storage,"£33,100.00","£33,100.00",FEF0018
Peter Benstead Boatbuilders,Fitting out and equipping the coldstore at Orford Quay,"£1,598.96","£1,598.96",FEF0021
Samways Fish Merchants Ltd,Disposal Of Polystyrene Boxes,"£2,850.00","£2,850.00",FEF0025
John Lake Shellfish Ltd,Cooker Modernisation,"£14,600.00","£14,600.00",FEF0032
Severn and Wye Smokery Ltd,Low Care Smokery Development,"£148,143.80","£148,143.80",FEF0187
Coombe Fisheries Ltd,Roller Grader,"£3,016.88","£3,016.88",FEF0038
Coombe Fisheries Ltd,Sieve Project,£232.40,£232.40,FEF0039
Andrew Trust Ltd T/A Ocean Harvest,Stock Control/Traceability and Hygiene Upgrade,"£4,115.70","£1,371.90",FEF0080
AM Seafoods Limited,Eviscerator,"£4,517.50","£4,517.50",FEF0209
David Walker and Son,D Walker Fridge,"£4,855.82","£4,855.82",FEF0213
I.S.T Diving LLP,Seafood Naturally Bass Processing Project,"£1,996.27","£1,996.27",FEF0214
A N Other,Ice machine,£617.39,£617.39,FEF0176
Sarum Foods Ltd,Sarum Foods - New Court,"£100,000.00","£100,000.00",
Kirwin Brothers Ltd,Purchase and Installation of a Fish Portioning Machine,"£13,000.00","£13,000.00",FEF0180
Capps Foods Limited,Sam Cole Food Group,"£421,597.68","£421,597.68",FEF0192
Redcar Shellfish Ltd,Crab Meat Extraction Equipment,"£5,270.00","£5,270.00",FEF0495
Frank Round Ltd,Factory Refit 2010 (Stage 2),"£7,110.20","£7,110.20",FEF0552
W Simpson Ltd,Vac Packer,"£24,400.00","£24,400.00",FEF0229
Exmoor Fisheries,Exmoor Fisheries Development Plans (Processing),"£2,427.30","£2,427.30",FEF0233
Seacatch (UK) Ltd,Freezing and Glazing Project,"£42,170.60","£42,170.60",FEF0388
Abex Fish Salters Ltd,New Chilled Store to Increase Processing Capacity,"£21,626.00","£21,626.00",FEF0266
JCS Fish Ltd,Marel Portion Cutter,"£19,359.36","£19,359.36",FEF0270
Waterdance,WD Sales,"£59,482.20","£59,482.20",FEF0287
Fastline Shellfish Ltd,Crab Shell Washer,"£2,700.00","£2,700.00",FEF0288
Garfish Export Ltd,New Production Line,"£1,960.00","£1,960.00",FEF0294
Exmouth Mussels Ltd,Modified Atmosphere Packing,"£3,709.60","£3,709.60",FEF0295
Larry's Fishcakes,Prospect Terrace Unit Modernisation,"£17,105.22","£17,105.22",FEF0296
Wessex Shellfish,Wessex machine,"£4,137.17","£4,137.17",FEF0305
Paramount 21 Ltd,Site Capacity Improvements,"£21,539.46","£21,539.46",FEF0306
Paramount 21 Ltd,Line 3 Capacity Improvement,"£24,995.00","£24,995.00",FEF0307
L Robson & Sons Ltd,Herring splitting machine,"£3,760.00","£3,760.00",FEF0314
A N Other,L & G Roberts Skinning Machine,"£1,012.74","£1,012.74",FEF0320
Neilsen Fisheries Ltd,Filleting Machine,"£23,440.00","£23,440.00",FEF0327
Edwin Jenkinson Ltd,Improve Shellfish Cooking Facility,"£17,280.62","£17,280.62",FEF0328
Neilsen Fisheries Ltd,Flow Line Conveyor,"£21,448.00","£21,448.00",FEF0339
Ken Green Fish Merchants,Electric Smoked Salmon Slicer,£286.02,£286.02,FEF0341
Paramount 21 Ltd,Production Control & Traceability Improvements,"£17,775.68","£17,775.68",FEF0344
New England Seafood International Ltd,Salmon to Market,"£183,211.60","£183,211.60",FEF0353
The Great Grimsby Seafood Village Ltd,Grimsby Seafood village,"£483,000.00","£483,000.00",FEF0354
Coombe Fisheries Ltd,Fish Bins,"£6,676.80","£6,676.80",FEF0367
Southern Head Fishing Co Ltd,Southern Head Improved Ice & refrigeration,"£7,044.76","£7,044.76",FEF0371
L & W Shellfish,Factory Refit,"£9,505.83","£9,505.83",FEF0372
Baron Shellfish,The Arches (modernisation),"£8,022.07","£8,022.07",FEF0392
John Lake Shellfish Ltd,IQF FREEZER,"£24,600.00","£24,600.00",FEF0686
JCS Fish Ltd,Purchase of Fork Lift Truck,"£3,560.00","£3,560.00",FEF0748
R H Ward (Welton) Ltd,Tilapia Farm Nursery & Modernisation,"£84,148.60","£84,148.60",FEF0402
Paramount 21 Ltd,New Fryline Extension Project,"£209,240.33","£209,240.33",FEF0405
TFA Box Company Limited,Expansion of capacity and improved food Hygiene standards for the Grimsby fish box washing plant,"£52,610.10","£52,610.10",FEF0406
A N Other,Beach Dumper,£950.00,£950.00,
A N Other,Security Improvements,"£2,251.87","£2,251.87",FEF0413
W Simpson Ltd,Form fill and Seal,"£10,950.00","£10,950.00",FEF0425
Edwin Jenkinson Ltd,Shellfish Factory Upgrade - Cooling Line,"£8,787.80","£8,787.80",FEF0429
Mick Grimes Shellfish,Live Shellfish Processing Unit,"£23,447.44","£23,447.44",FEF0430
Whitby Seafoods Ltd,Packing Line,"£20,000.00","£20,000.00",
Moir Seafoods Ltd,Live Shellfish Holding Facility,"£6,257.48","£6,257.48",FEF0434
Brixham Trawler Agents Ltd,Marketfloor Sweeper/Scrubber and 2 off Electronic Pump-Up-Trucks,"£7,168.78","£7,168.78",FEF0440
RDS Northwest Ltd,Walkin Freezer,"£2,500.00","£2,500.00",FEF0443
AM Seafoods Limited,New Build,"£255,780.07","£255,780.07",FEF0459
Whitby  Seafoods Ltd,Coldstore 2010 - Processing,"£221,711.80","£221,711.80",FEF0461
Kirwin Brothers Ltd,Purchase 1 Coldstore protected counterbalance electric forklift truck & 1 electric hand pallet truck,"£4,599.40","£4,599.40",FEF0476
River Roach Oyster Company,Oyster Cultavation Gear Purchase,"£3,000.00","£3,000.00",
Larry's Fishcakes,Larry's Phase 2,"£12,916.55","£12,916.55",FEF0483
